"City";"NbCells";"Amazon_Web_Services";"Apple_App_Store";"Apple_iCloud";"Apple_iMessage";"Apple_iTunes";"Apple_Mail";"Apple_Music";"Apple_Siri";"Apple_Video";"Apple_Web_Services";"Clash_of_Clans";"DailyMotion";"Deezer";"Dropbox";"EA_Games";"Facebook";"Facebook_Live";"Facebook_Messenger";"Fortnite";"Google_Docs";"Google_Drive";"Google_Mail";"Google_Maps";"Google_Meet";"Google_Play_Store";"Google_Web_Services";"Instagram";"LinkedIn";"Microsoft_Azure";"Microsoft_Mail";"Microsoft_Office";"Microsoft_Skydrive";"Microsoft_Store";"Microsoft_Web_Services";"Molotov";"Netflix";"Orange_TV";"Periscope";"Pinterest";"PlayStation";"Pokemon_GO";"Skype";"Snapchat";"SoundCloud";"Spotify";"TeamViewer";"Telegram";"Tor";"Twitch";"Twitter";"Uber";"Waze";"Web_Ads";"Web_Adult";"Web_Clothes";"Web_Downloads";"Web_e-Commerce";"Web_Finance";"Web_Food";"Web_Games";"Web_Streaming";"Web_Transportation";"Web_Weather";"WhatsApp";"Wikipedia";"Yahoo";"Yahoo_Mail";"YouTube"
"Nancy";14353;1011364516;39345963765;25468269515;482363257;2469827657;179177059;6985364179;228153721;19371004732;4832831102;279761747;8063972538;24174146519;1472823688;391347932;70736518386;51178770776;74920670;64399528;195427348;3527056466;1240379990;2068547339;1612045969;37316508100;15173437971;134570892176;7567411667;101845771;2952842441;1077512917;1294418673;9298523572;1420992002;4448487596;57935394433;5499751862;632771059;4328456015;6485815680;753699400;184963727;44871956339;883559893;3299643440;8744191;383306891;42376970;15305985002;17700487773;77180074;602495455;16983591194;832136614;3442337407;36091737036;5221196150;598860790;113929419;387084025;7686859601;823231421;700063623;2959725228;222858081;862805500;406275662;52721525089
"Nantes";53370;2940104590;127510966765;84089745434;4389821842;6708463651;483841562;20895906137;771717604;70835551632;15028071878;814952275;31936799551;81781831011;7022318876;1225125313;205943063980;142756333179;213150431;212711659;908522072;14991312583;3800372685;8631771306;6807040070;131421636046;55278154941;445339028233;41707814200;806570136;9953203640;1891445953;2928899219;32173605740;5038155966;18522498980;183422890203;18208629784;2042971463;14647877484;20451701472;1482174227;526815528;98655981576;3771450702;11725511709;112830357;1352707647;158851048;52940463490;38630173801;770151620;5354538134;55766729229;2251520195;11438277855;114282490904;14667653464;2095522247;389948000;1148512726;21711879994;2816056412;2318946355;12609802743;611381783;2921914546;1728086118;148231458980
"Nice";16349;2394884574;80779446420;61080857667;3605309458;4221687811;659041082;19562488175;537550678;60773963050;10514164154;425246521;14531298290;36531113144;3872503366;785701092;128267496896;85997054821;139578291;113017607;291880878;7712750020;2306047112;4208912722;3866983807;58043614083;28169546419;279250668508;12443109441;172421966;4689005125;1347197697;977488171;9606349439;1604039096;10432266588;95795262697;10923384790;888448059;6174080022;7808263114;520429998;338370896;68511068577;1829939356;5691035021;21192317;1061823639;220032874;18040287274;16259422223;686684433;912267510;29695560141;668494330;4813308143;46504732503;9266294432;1350469940;160688816;578661222;13638912391;1863797081;1089841450;10633407061;326889436;1681261842;1079891808;100434052182
"Orleans";33758;1296607810;39550387643;26239386925;1397107265;2182894223;194759914;5508208121;235885984;20531852638;4625537315;296708004;8697839371;23200597091;1323052535;419140612;68682680729;50201625994;62958730;74882506;253041531;4114291546;1044843544;1960721121;1469897964;44687455101;16097633036;135918763702;8259138222;108736614;3158147611;461802113;766128853;8567673898;1618962687;9679706517;56588691289;8703805475;532594317;4863461368;6658780583;598083392;154753017;50920816885;783584595;3150180078;35607773;480148037;17384946;17358105010;16619884590;46315125;1073431294;18009809413;867231901;3995247446;34048622980;6024969967;586587660;131955655;398626397;7550024953;794548676;728425396;5016497266;178075859;838362714;501536956;49635451486
"Paris";81731;47125322772;1976138883409;1421616700771;73232745845;91995918268;12455808647;431168523415;10299415064;1316801376390;314905575491;8069573496;383487860518;797286640015;91372617639;11208735738;2235781711185;1547631800075;2637955629;1453351399;12173459893;210467535052;61045732216;169684090444;137528395593;1166498991437;714980348791;5757656491258;730125613749;7912416898;158349173000;27773070998;27735405554;231685142357;47233771412;226538892122;2008256132328;202528740991;24938013170;134161260684;102635590864;18711717383;9062126287;1307690794872;60928374903;149874478970;887720465;23330954897;2495542989;414445059246;524771525892;24196070627;56309260800;615681211330;21510185944;107483443167;947494569795;178992583401;25538962639;4770846567;10453194533;298439628636;49320370543;19538548641;380707071026;10309436978;55065647919;33603284477;2183025755573
"Rennes";71597;1887064520;82306819871;57579264700;2983661023;4566519687;395892835;14351212589;552800139;53551004732;11581590756;615149126;22747258296;62365743985;3662424657;1591992541;158729284136;108103851726;151003530;127095308;734697593;11211693497;3016164072;5869131175;4830456521;96555155944;41165365522;343607792811;27245165838;338712672;7472602931;1272426543;2111995076;20943704229;3480277369;16745808580;125548164363;17217352532;1499318927;10850391861;9402656250;1031236116;366293694;77356182543;3262594104;8093768614;26263989;900621333;180013754;41247520912;42214670897;176110403;3502359583;42444195763;1353743880;8359523669;68126265405;9883789720;1472292687;251871302;838799624;16116499713;2388147886;1739313218;9051935941;555602254;2251765584;1271205684;110895130884
"Saint-Etienne";72502;1073138765;37760142902;23784968692;1275072838;1517863469;133355665;5432564204;242297808;25880742919;4533447103;260149416;11075559694;19773065554;1358976466;536412730;68095650188;48593213578;66906811;70024356;184926592;3581786189;958032839;1847722872;1283295513;43566230346;15279013649;129349158709;6836446622;195292101;2518794047;334326327;738122745;7731051577;1287422985;6019865923;46789810912;7400137475;615975843;3768757208;5643907130;333782615;282786727;50889184324;515705499;2642684066;55667542;568305104;12037066;17724890398;9859938008;39138781;783324568;20627001873;822697271;2869960557;30820330339;5918338797;767445616;142594183;428724185;8906701238;986916937;663152488;3291310296;161937004;956582923;517075328;57309267304
"Strasbourg";34023;2289722226;89983178018;63803575353;1084200363;4069291890;493211565;16190698677;507541629;45961647692;11125608358;531109399;17102353439;50308014309;4019758246;953561175;157985122119;109808976387;165745809;94479865;438558636;9305559491;2222656852;6025096014;4335137325;76141196278;37089589179;301743351222;17486517155;196009626;5647260105;1166344061;1225408640;13178014149;2646303693;8735963436;104452369085;11380568796;1484435492;8852936511;7090824720;1087232761;426202176;104115306143;2282172376;7742854145;94283717;836899198;274769357;24244242281;34187391652;227660300;1152348466;34473907078;1144738492;6140573990;61416859704;10307839174;1048334388;242863497;779820547;16026578393;2072731437;1348205650;10159039172;475172303;1922691894;1321471902;121240055795
"Toulouse";46269;5131277334;194578740085;121175070373;5346765211;8626025879;816843425;35116053493;1113046326;161012271251;22376225698;1322965189;39594820172;118711492987;7168988147;2100882452;324740223439;236875549897;359731033;266916694;1794245240;21776226016;5724576096;12693400764;11876205650;182985926132;82414259910;759501182039;52089040673;637373812;12925398989;1640987783;3418210515;39775221171;7637358855;25575884120;254138977985;26654800348;2149223432;20895412951;25274043000;1879962305;777389278;175913181611;6465385138;16709536313;83314059;2100801867;287333461;73583479789;47142920142;1090529380;6358198476;84330453359;3101192165;15871224278;148021752107;22925094514;3247561082;569978583;1657819367;34984641240;4071230321;3159061561;23664645995;985809173;4309517125;2396624968;238788949638
"Tours";39131;1215105380;47224108905;30573964848;1535907012;2693262080;211534649;9051381429;301196491;31681047975;5815068312;374064630;11842739640;27634790313;1836096975;498055194;84708371209;59650775474;77911176;76237344;341262788;5316855324;1508396806;2837729765;2123268117;52877441011;19760881068;166410471856;10278104964;132020208;3367418864;430376276;1058733780;9687889247;1610371465;7353824458;68208472387;8806452538;400233628;6062285540;5100729046;727860710;159803593;49418754815;1122541990;3999824186;16000010;470790689;24333394;24389757382;18633644901;79625016;1421230380;21061687259;513609671;4411333063;35779400663;7035715851;1092290667;169022941;531148349;10186902196;1132428698;884947167;4492143172;233119151;1155689608;716331313;59204681085
