"City";"NbCells";"Amazon_Web_Services";"Apple_App_Store";"Apple_iCloud";"Apple_iMessage";"Apple_iTunes";"Apple_Mail";"Apple_Music";"Apple_Siri";"Apple_Video";"Apple_Web_Services";"Clash_of_Clans";"DailyMotion";"Deezer";"Dropbox";"EA_Games";"Facebook";"Facebook_Live";"Facebook_Messenger";"Fortnite";"Google_Docs";"Google_Drive";"Google_Mail";"Google_Maps";"Google_Meet";"Google_Play_Store";"Google_Web_Services";"Instagram";"LinkedIn";"Microsoft_Azure";"Microsoft_Mail";"Microsoft_Office";"Microsoft_Skydrive";"Microsoft_Store";"Microsoft_Web_Services";"Molotov";"Netflix";"Orange_TV";"Periscope";"Pinterest";"PlayStation";"Pokemon_GO";"Skype";"Snapchat";"SoundCloud";"Spotify";"TeamViewer";"Telegram";"Tor";"Twitch";"Twitter";"Uber";"Waze";"Web_Ads";"Web_Adult";"Web_Clothes";"Web_Downloads";"Web_e-Commerce";"Web_Finance";"Web_Food";"Web_Games";"Web_Streaming";"Web_Transportation";"Web_Weather";"WhatsApp";"Wikipedia";"Yahoo";"Yahoo_Mail";"YouTube"
"Nancy";14353;982545630;36270695297;23398093433;507367521;2158434990;178178728;6286658621;201959663;18282739433;4589116270;291844893;7862530232;24908330700;1127258103;645941862;71094079474;52982402443;72731523;41883186;179594521;3737354011;905836304;2153845201;1907842425;22888630373;15359854613;141319559478;7884959565;190774240;2180521901;1052829387;578152487;8361392557;1688838661;5842877609;52404170614;5937839661;456551147;4237099265;5918728827;924060572;140128251;42457907054;1030822820;4731723356;25153810;142589488;318010586;14650094398;19009977322;68180368;498010649;19445031841;761806289;3400814800;26444089119;6002210026;526198150;125280844;415984525;8495412023;894358775;592172730;3001253706;243267305;848566513;440692957;52421661342
"Nantes";53370;2723815127;113985876174;82489830230;3869348660;7072099194;570472412;18925134595;711898611;56672249406;14185542575;799003174;33976810870;84625403076;5258937886;996051613;201350118791;145339444956;191532777;152794812;1034687235;13201024067;4024063701;8736226593;6640439750;78601388614;54685522179;455887492722;40743719209;496737466;8966922805;1792121903;2308456945;24353118605;5201861644;24255224283;164964356578;22693022461;1457868697;14165710373;19455793522;1852603909;705972802;98810579908;4183335504;15922578599;62817840;474359242;100434443;44419977115;41781379778;733362576;4644136463;58850596398;2404309289;10117655891;80053629623;16143005067;1938379882;390686676;1243159935;23649546579;2661840543;1685294775;12901523003;689037221;3724897464;1603557906;151965434135
"Nice";16349;2174196156;71426987922;58337915192;3823436969;4570968402;540126992;18246537242;491987049;48860669089;9615925132;430177715;16724497285;36708986617;3117494142;697423334;127341931853;89812611404;138883373;65789619;341208774;7239984359;2325226180;4705521688;3917118373;36190975254;26375641558;276188622119;11974174035;184525787;4294944609;1410511554;927917540;6829411570;1744006085;15497912022;94948370481;12827647385;756212402;6237030201;7649086963;613997236;378468983;66228875865;2028232940;7641462571;19062178;524967054;45838803;19761004766;17820955690;678114573;1446363693;37002551006;1002106777;4868304470;36496192173;10185094476;1127023586;164555153;773812022;11658510268;1687560214;596891088;10769864868;334900024;1720761785;1087885511;104903796606
"Orleans";33758;1281267505;36413423594;24386168163;1311644897;2413859787;202195076;6585306593;216354917;20108730236;4487138871;296719844;10035766103;24903610689;1304506243;618846101;68147482038;51011319543;63451978;79103185;208349509;3736860844;898117405;1967342415;1381422612;27123237443;16002570909;136231634532;8685798897;144971931;2225892652;357784381;418319726;7097348573;1398458863;7811139590;55101462333;10257731293;494921899;4794355964;7090710920;728008743;186252723;49112841518;843655906;4253366987;18970260;77363499;34867650;15313124122;16653928171;30257449;916285399;19277060214;726486815;3707695637;26064542000;6655660288;495471665;132185481;566414321;7242527638;878981829;646000043;5746405877;195439318;1006657867;471814789;47056534938
"Paris";81731;42627292183;1759963922741;1335683077912;63094847423;97171322145;12163061697;391019641470;9348163374;1194863713298;293084363642;7878938526;431744690708;789881474552;88208111245;11874133200;2204785420544;1594581591813;2435397677;1163433368;13415968078;202711759677;60019201535;172540686301;136115477285;746182268439;686467292161;5769143558729;749052524654;9163934637;146458506585;26343072265;27811296942;178005538355;46079908212;290449821859;1999088460658;223971570824;20639752919;130154680743;119303890256;20828292758;8981038716;1227282396262;65093495640;198884247793;953828836;11192721244;2510893101;389806495395;544609884520;21839981324;55546655879;691864208319;20537457898;101237993988;655935548166;194309918249;25406136324;4282978455;12073702420;282403086795;47457354712;16933221062;392277282543;10839867298;53778828294;32073130211;2237230637889
"Rennes";71597;1801299955;72928472256;54889517645;2400323695;4611416055;359052203;13531754476;502488411;45802849495;10787267211;612614769;23962449137;63482186718;3228056925;742205494;153806793453;109730934949;141880627;91201476;702264820;9753296839;2502526843;5915092098;4831291730;56223640352;38786466809;349674107478;28142501167;391149286;6101300377;1028436036;1393485609;15169759666;3814030927;14882407267;122369563940;16995241250;1203348761;10140544766;9864158857;1328178876;371130750;75143334782;3158886306;11387236490;54703107;367583729;181077401;42735682777;45963155789;145371424;2704142801;44988399882;1301424684;8007248563;46672447124;10765771995;1390014158;261879373;1068641341;12729990225;2000952675;1386789078;9408750829;541703999;2391513446;1267243889;111790156718
"Saint-Etienne";72502;930106672;31838836096;22116056746;1437405493;1959296984;174636767;4149533685;226250602;20367051308;4245629037;237148223;10488413335;19297684321;830198317;515930927;66853931034;49448114166;55666302;50653791;127438312;3855304658;946257666;1959665431;1237431082;27189371595;14314977031;128745287334;6973204011;203674423;2268392592;456244591;571078383;6119739966;1178472840;7188923367;46415664683;7863531017;471672689;3566234093;5909442866;423587639;135023358;50329119661;702397183;3507996403;16079084;103275754;71488691;11029795565;9808771588;28351884;788743993;21596615291;921928193;2509164411;21596306699;6418701538;631936545;100139311;432125041;6939022280;885076675;500212455;3498269762;188396014;899127695;454486880;54064756715
"Strasbourg";34023;2131841113;82028376823;58846062175;1228595156;4573104749;536205585;16200122093;466871018;38826602732;10454207299;539297580;16363183585;51376963466;3318102783;1246716784;151075915836;113116297335;145499933;68613894;488732372;9429405182;2281805221;6299889600;4548102330;46531367455;35038829401;305909156778;18339022146;407386469;5576846615;1915611163;1216514297;11268395459;2716500150;11972481033;103241098072;10850272955;1149117889;8741960622;7192998827;1325169444;400234613;100087585744;2506636206;10388827133;73315321;462155269;65685571;28107934942;35070360040;232378379;1020299791;38748625694;1171483237;5832204733;36088603198;11506014035;923689430;255536337;855973161;13604002041;2004451313;1071534880;12908197070;498466181;2006927215;1282676388;117843816303
"Toulouse";46269;4454493872;172445581416;116684172172;1527080175;9836320705;753999340;32086258974;1027649342;141605758325;21041973037;1282281369;47153715966;122042225618;9565750902;2045870152;319977909337;239985156435;334902807;244132400;1438580708;21152706460;5411856543;13425771824;11659989599;110792199990;79602189831;767148758594;51955543656;946588475;11632210949;2647639154;3907222713;30636748179;6802679813;30093182586;245238406912;30635311064;1799298193;19461457776;21120531579;2337598741;860561976;181680654558;7480745115;22467605276;105050323;567574370;204003890;71626411409;50952105973;944225903;6431357952;92623886602;3320938950;14215659489;100039379924;25327341620;2897039664;493825254;1754202047;32275478465;3960106641;2239697801;23436948070;1004690714;4101694751;2417655626;236443264288
"Tours";39131;1140073149;42590815038;30424733902;1449755893;2589868483;177236511;8004571158;283959406;27872946096;5415597398;376692584;12624835398;27327558782;1487778157;844450383;84341680019;61246091139;75800894;72104633;210010188;5012496608;1269733103;2830785532;2072513982;32546932046;18353606207;170883094048;11333446269;152099004;3092374820;819642516;744461494;8859786654;1955615799;9139676501;63949449159;11170543717;347143573;5926924900;4743337211;832281418;191255645;49309059774;1286272764;5561832702;20679849;93340272;17536309;24465712218;20169985755;72004698;1144398288;23070250569;778875816;4778482255;29268463095;7911195408;951984834;156833199;524259627;7827952559;1226122082;747263701;4487919649;287662463;1217293048;569826594;61889777967
