"City";"NbCells";"Amazon_Web_Services";"Apple_App_Store";"Apple_iCloud";"Apple_iMessage";"Apple_iTunes";"Apple_Mail";"Apple_Music";"Apple_Siri";"Apple_Video";"Apple_Web_Services";"Clash_of_Clans";"DailyMotion";"Deezer";"Dropbox";"EA_Games";"Facebook";"Facebook_Live";"Facebook_Messenger";"Fortnite";"Google_Docs";"Google_Drive";"Google_Mail";"Google_Maps";"Google_Meet";"Google_Play_Store";"Google_Web_Services";"Instagram";"LinkedIn";"Microsoft_Azure";"Microsoft_Mail";"Microsoft_Office";"Microsoft_Skydrive";"Microsoft_Store";"Microsoft_Web_Services";"Molotov";"Netflix";"Orange_TV";"Periscope";"Pinterest";"PlayStation";"Pokemon_GO";"Skype";"Snapchat";"SoundCloud";"Spotify";"TeamViewer";"Telegram";"Tor";"Twitch";"Twitter";"Uber";"Waze";"Web_Ads";"Web_Adult";"Web_Clothes";"Web_Downloads";"Web_e-Commerce";"Web_Finance";"Web_Food";"Web_Games";"Web_Streaming";"Web_Transportation";"Web_Weather";"WhatsApp";"Wikipedia";"Yahoo";"Yahoo_Mail";"YouTube"
"Nancy";14353;828310112;32657778470;20087027805;1012012729;1505497941;143539751;4868761203;189030992;18186971153;3448854708;221953966;9490087607;21085312096;631652685;302904334;64558780191;42085240135;79067362;60523540;205300190;3324597321;881376975;1679739186;1505646891;28362148662;13597448348;121426797450;6216848247;124648489;2236212949;1555057493;484995239;6154498400;1045931803;3727745325;43374182616;5169589208;448456127;3437460405;2212253905;820952436;151814226;14984064730;723430338;832749988;7159267;113981021;32157128;17002672555;16788913974;55379631;396342534;14479002534;695543779;3461517248;22463425162;4378958728;425524030;130799805;378805552;5714144859;707610673;783941053;2708540937;216997272;1123676345;328136604;40627333768
"Nantes";53370;2362944105;105097023840;69603572352;2929309620;3843613111;408497291;14796902432;622851923;54231520481;11236918291;587695255;30423514675;66356871989;3711496318;1008035086;179385205601;109485554327;200383358;172971308;733508132;11709655446;3319244034;6655077921;5180533520;101168965206;45607557613;394404997753;32996333153;376092531;7952093454;3497227958;2849277567;18728220855;3677216012;14794454756;145809531395;14545729886;1816441038;12188418703;5185005546;1559572283;508167938;38119986632;2813356596;2880410471;101143532;484522080;89314729;49165591528;37337894515;653880968;3288496489;45973106236;2050710908;10177235777;62657458389;11243744378;1509327612;445324325;956582817;18547951202;2049468746;2129259882;10244304668;574884543;3761158969;1304412526;118263240959
"Nice";16349;2089543192;77250298961;59723604624;1692733290;3557382715;483701663;16599607354;493756831;45869565800;8685665442;338960230;14635095755;32737801925;1645274689;869206071;122338985716;74695730774;168288625;103524605;436950196;7143580691;2143108972;3890818344;4062112659;47756798822;26632783360;278627489553;11075732639;200395869;4767264990;1270801185;726504275;6642558782;1649396797;9821529503;90075328044;8434059719;594786189;6119259989;3670085040;623231357;323899400;26853349558;1509752263;1573109008;15880056;990520797;29213141;20308275006;16338953300;905082318;846548059;27377203305;743566201;5195069989;33876736635;8225446835;922456957;206752527;612073179;10472129902;1390814531;1108093343;9594583566;338459870;2339220492;1094566473;85535117022
"Orleans";33758;1061305691;34625566318;20909139628;1019243626;1541875099;111475902;3919408553;194479634;15480993337;3506555633;211366783;8844489321;19060827713;485008235;389724811;61954965933;39797349450;72210498;76394137;162647213;3352864416;761475066;1469098520;1157091171;34348308637;13794656809;121855966521;6363295214;98196952;2005892792;1008995917;486919379;6156924589;1196293223;6823601766;44132991221;6632352721;515457782;4132152060;3154952834;613031710;153377464;18627531682;713373675;771999568;19898105;89927814;37259925;14449855424;15662889902;37844079;700908888;14655049538;845426145;3554838877;22526421184;4680695057;462651340;120542866;364996660;6625904561;567247178;758861724;4327358453;181913961;1158858030;409260135;37325913418
"Paris";81731;45084424512;2039197571528;1364571576500;57064749039;75899692582;12195159989;367987399670;10082397283;1042527340497;288626059776;6730607451;476185879192;788708518858;59301086160;10785553257;2353781802536;1450288491002;3226174445;1476156334;10547202351;216395664513;63984817095;154305404216;135568848121;1116478736573;700032231989;6046644644521;812530753196;8393738323;158070404084;57026872050;24852916432;186025473558;44731732622;212280154927;1928759029419;193696031994;26260019647;141097001718;49668186520;20844629797;7549918517;575267892493;56630648332;45180489709;865075765;16078489617;2077027723;471819683374;602573829629;25952406934;46750541077;637663868356;22461872854;117084848121;733185720732;176884011238;22114047657;5677938316;11867989633;274448511808;43845729662;27182004273;370320499950;11080456504;87295738339;32503621495;2028535248221
"Rennes";71597;1523227102;69145443617;45992545911;1731827279;2865985418;307913173;11188284397;437641827;35603851829;8353792395;422612621;22776614100;50031026977;1329398935;773272302;134455042205;80373832400;154050228;102179346;507927757;8881723552;2356134105;4416157799;3841886188;71366248886;33020743583;299716659980;21971351075;406966773;5684246246;2586908010;756670683;12349383133;2801441746;9061668819;102065285645;12141343856;1433004976;8222403529;3568784866;1113551928;383764533;29575633415;2297809871;2057752942;29011743;467014667;65459002;38803128314;41404442880;180208061;1943218130;35258243557;1220071000;7742913492;39288813418;7914957317;975951124;265347155;797934496;11421218573;1455468893;1562602089;7211590360;441554729;2817230620;993237567;85682811496
"Saint-Etienne";72502;930624010;34866312367;20748506752;550567097;1384132207;129963618;3924917210;220213549;19107603487;3486750702;176501697;12276696876;16365250890;623953439;361527453;63940453122;41289547442;68695801;74775205;100457717;3047598359;708279306;1602237306;1240956489;35720530395;13449313659;124466118275;5859975927;118367272;1861716034;730052571;425662127;5469669184;874778576;4086152285;41848895014;6025956179;624171391;3106134012;4524076782;352535833;129870880;19133825076;502920047;689754955;6248660;179109250;10828834;13365249238;9776758146;56641828;612151077;17819792006;705182741;2949191053;23033311185;4916246118;492591198;141577214;481462724;7535686097;711443182;722191598;3065274566;165557411;1201185463;378001617;44304371918
"Strasbourg";34023;1986252167;83263545959;52598512192;3125262402;3045115943;396431145;12545153654;448368649;35940172950;8825899423;420426484;20627247335;45651703404;3448921745;697394356;146859220827;93190015989;184914263;90453736;394196765;8059888891;1987565622;5174361401;3925227129;57775543431;31033526608;281695888448;16016066388;239843559;4404712078;2294455267;645817863;8513257500;2062689104;8248566536;87611268916;8292873260;1217298897;7445596064;3195107862;1239996292;293725204;35347672811;1817142454;2032692270;22297603;390102094;203243689;28517228492;32302337378;325038544;801294262;31157650586;1292714991;5693026551;38446939004;8944039400;724191418;296738858;623914432;13549522200;1532214537;1593254561;9886296019;462577471;2579281062;1172100744;93082648928
"Toulouse";46269;4177259081;174435545329;102062166438;4831184179;6882857905;600361013;24102353546;974883350;117494765070;17781921430;978157172;42513064741;100714743371;5500305671;1330224725;289996785520;187720260493;374777708;268772679;1448190683;19031411434;4440935051;10441046995;10335079457;142783500540;67415382296;690048236920;42090863826;692157408;11392544110;4270181844;3369544824;26641492368;5693357120;19070642880;230456313506;24210291895;2307516074;17186687505;9213155086;1966704795;766376422;70210329168;5266312131;4072842944;69718487;804750142;159944496;67994057315;44788645772;1028548551;4797889847;70378233818;3077999109;15475912874;87866799779;19014572645;2269920097;607803442;1592370754;28933552716;3036996786;3388337166;19812016352;939940319;4922689675;2133899930;192310376317
"Tours";39131;971417358;43353633035;27263807678;1108575428;1725155047;155678423;5825401413;254952674;25688818240;4533648636;294853367;11356400773;23314215644;920834670;472091796;78037621037;48834206785;77678449;85190477;292725886;4161930261;1143718573;2428671935;1677254247;40811425365;16891543952;149462746711;8414090340;124684288;2743109033;913839388;506200802;8019037767;1316314151;7684115845;59307274289;7831404573;661121752;5244650710;1810027284;755685366;127465764;19078044379;997644927;1054774383;20944984;164228008;44782492;32918058471;18996470415;92595188;824527395;18063869444;668499720;4187663584;22200962740;5556583554;786673201;172137138;475538243;8950283139;847620310;1087476543;4127745762;231359546;1531940257;555622567;45196258262
